customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score
CUST-0024,2019-12-06,Paid,2020-12-07,Standard,Annual,2023-01-19,Lack of Content,12.99,845,49
CUST-0025,2019-12-20,Referral,2020-12-18,Premium,Annual,2024-06-14,Too Expensive,20.99,1880,37
CUST-0026,2020-01-03,Organic,2021-01-04,Standard,Annual,,,14.49,990,21
CUST-0027,2020-01-17,Paid,2020-02-17,Basic,Monthly,2020-05-02,Technical Problems,6.99,160,65
CUST-0028,2020-01-29,Referral,2021-01-28,Premium,Annual,,,18.99,1675,19
CUST-0029,2020-02-10,Referral,2020-03-12,Standard,Monthly,2021-02-20,Switched to Competitor,10.99,420,59
CUST-0030,2020-02-24,Organic,2021-02-23,Premium,Annual,2022-03-08,Too Expensive,21.49,1405,41
CUST-0031,2020-03-09,Paid,2020-04-09,Basic,Monthly,,,8.49,360,34
CUST-0032,2020-03-21,Referral,2021-03-22,Standard,Annual,,,11.49,915,24
CUST-0033,2020-04-02,Referral,2020-05-02,Premium,Monthly,2020-09-10,No Longer Interested,17.99,530,62
CUST-0034,2020-04-16,Organic,2021-04-15,Standard,Annual,2023-02-05,Switched to Competitor,13.49,860,50
CUST-0035,2020-04-29,Paid,2020-05-29,Basic,Monthly,2020-08-01,Forgot to Cancel Trial,5.99,110,73
CUST-0036,2020-05-12,Referral,2021-05-11,Premium,Annual,,,19.99,1950,17
CUST-0037,2020-05-26,Organic,2020-06-26,Standard,Monthly,,,12.99,445,32
CUST-0038,2020-06-08,Referral,2021-06-08,Standard,Annual,2024-01-18,Lack of Content,15.99,1020,47
CUST-0039,2020-06-22,Paid,2020-07-22,Basic,Monthly,2021-01-09,Too Expensive,7.49,205,66
CUST-0040,2020-07-03,Organic,2021-07-03,Premium,Annual,,,22.49,2280,13
CUST-0041,2020-07-17,Referral,2020-08-17,Standard,Monthly,2022-11-22,No Longer Interested,10.49,520,56
CUST-0042,2020-07-31,Referral,2021-07-30,Standard,Annual,,,11.99,940,20
CUST-0043,2020-08-13,Paid,2020-09-12,Basic,Monthly,2020-11-28,Payment Issues,6.49,145,70
CUST-0044,2020-08-27,Organic,2021-08-27,Premium,Annual,2023-06-03,Switched to Competitor,18.49,1325,44
CUST-0045,2020-09-09,Referral,2020-10-09,Standard,Monthly,,,13.49,480,31
CUST-0046,2020-09-23,Referral,2021-09-23,Premium,Annual,,,21.99,2140,16
CUST-0047,2020-10-06,Organic,2020-11-07,Basic,Monthly,2021-02-15,Lack of Content,8.99,225,64
CUST-0048,2020-10-20,Paid,2021-10-20,Standard,Annual,2022-09-19,Too Expensive,12.49,835,45
CUST-0049,2020-11-02,Referral,2020-12-02,Premium,Monthly,2020-12-28,Poor Streaming Quality,19.49,310,77
CUST-0050,2020-11-16,Organic,2021-11-16,Standard,Annual,,,14.99,1015,28
CUST-0051,2020-11-30,Paid,2020-12-30,Basic,Monthly,,,5.99,395,33
CUST-0052,2020-12-11,Referral,2021-12-11,Premium,Annual,2024-04-01,Moved to Family Plan,20.49,1895,39
CUST-0053,2020-12-23,Organic,2021-12-23,Standard,Annual,,,11.49,930,22
CUST-0054,2021-01-05,Referral,2021-02-05,Basic,Monthly,2021-06-17,No Longer Interested,6.99,180,69
CUST-0055,2021-01-19,Paid,2022-01-19,Premium,Annual,,,23.49,2550,12
CUST-0056,2021-02-02,Organic,2021-03-04,Standard,Monthly,2021-09-08,Switched to Competitor,10.99,435,60
CUST-0057,2021-02-16,Referral,2022-02-16,Standard,Annual,,,13.99,875,26
CUST-0058,2021-03-01,Paid,2021-04-01,Basic,Monthly,2021-05-27,Forgot to Cancel Trial,7.49,105,72
CUST-0059,2021-03-15,Referral,2022-03-15,Premium,Annual,2023-08-22,Too Expensive,18.99,1620,42
CUST-0060,2021-03-29,Organic,2021-04-29,Standard,Monthly,,,12.49,460,30
CUST-0061,2021-04-12,Referral,2022-04-11,Standard,Annual,,,15.49,1080,19
CUST-0062,2021-04-26,Paid,2021-05-26,Premium,Monthly,2021-12-05,Lack of Content,21.99,575,58
CUST-0063,2021-05-10,Organic,2022-05-10,Premium,Annual,,,17.99,1390,20
CUST-0064,2021-05-24,Referral,2021-06-23,Basic,Monthly,2022-01-03,Too Expensive,8.49,250,67
CUST-0065,2021-06-07,Referral,2022-06-07,Standard,Annual,,,11.99,905,23
CUST-0066,2021-06-21,Paid,2021-07-21,Basic,Monthly,2021-10-10,Payment Issues,5.49,140,71
CUST-0067,2021-07-05,Organic,2022-07-05,Premium,Annual,2024-03-19,Moved to Family Plan,22.49,1980,35
CUST-0068,2021-07-19,Referral,2021-08-19,Standard,Monthly,,,13.99,495,29
CUST-0069,2021-08-02,Referral,2022-08-02,Standard,Annual,,,12.49,920,21
CUST-0070,2021-08-16,Paid,2021-09-15,Premium,Monthly,2022-02-28,Too Expensive,19.99,610,55
CUST-0071,2021-08-30,Organic,2022-08-30,Premium,Annual,,,18.49,1510,18
CUST-0072,2021-09-13,Referral,2021-10-13,Basic,Monthly,2023-04-20,No Longer Interested,6.99,300,63
CUST-0073,2021-09-27,Organic,2022-09-27,Standard,Annual,2023-11-07,Switched to Competitor,14.49,855,48
CUST-0074,2021-10-11,Paid,2021-11-12,Basic,Monthly,2022-01-25,Forgot to Cancel Trial,7.99,115,74
CUST-0075,2021-10-25,Referral,2022-10-25,Premium,Annual,,,20.99,1860,16
CUST-0076,2021-11-08,Organic,2021-12-08,Standard,Monthly,,,10.49,470,28
CUST-0077,2021-11-22,Referral,2022-11-22,Standard,Annual,2025-01-05,Lack of Content,11.99,980,40
CUST-0078,2021-12-06,Paid,2022-01-06,Premium,Monthly,2022-08-14,Poor Streaming Quality,17.49,540,59
CUST-0079,2021-12-20,Organic,2022-12-20,Premium,Annual,,,23.49,2420,14
CUST-0080,2022-01-03,Referral,2022-02-02,Basic,Monthly,2022-07-19,Too Expensive,5.99,190,68
CUST-0081,2022-01-17,Paid,2023-01-17,Standard,Annual,,,13.49,1005,27
CUST-0082,2022-01-31,Organic,2022-03-02,Standard,Monthly,2022-12-01,Switched to Competitor,12.99,415,57
CUST-0083,2022-02-14,Referral,2023-02-14,Premium,Annual,,,21.49,1760,18
CUST-0084,2022-02-28,Referral,2022-03-30,Basic,Monthly,2022-05-22,Forgot to Cancel Trial,6.49,100,73
CUST-0085,2022-03-14,Paid,2023-03-14,Premium,Annual,2024-09-09,Too Expensive,18.99,1595,38
CUST-0086,2022-03-28,Organic,2022-04-27,Standard,Monthly,,,11.99,455,31
CUST-0087,2022-04-11,Referral,2023-04-11,Standard,Annual,,,14.99,930,24
CUST-0088,2022-04-25,Organic,2022-05-25,Premium,Monthly,2023-01-03,Lack of Content,20.99,585,60
CUST-0089,2022-05-09,Paid,2023-05-09,Premium,Annual,,,22.99,2210,15
CUST-0090,2022-05-23,Referral,2022-06-22,Basic,Monthly,2023-02-16,Too Expensive,8.99,260,66
CUST-0091,2022-06-06,Organic,2023-06-06,Standard,Annual,2025-01-29,Switched to Competitor,12.49,840,51
CUST-0092,2022-06-20,Paid,2022-07-20,Basic,Monthly,,,5.49,380,35
CUST-0093,2022-07-04,Referral,2023-07-04,Premium,Annual,2024-11-11,Moved to Family Plan,19.49,1920,36
CUST-0094,2022-07-18,Organic,2022-08-17,Standard,Monthly,,,10.99,430,29
CUST-0095,2022-08-01,Referral,2023-08-01,Standard,Annual,,,11.49,960,20
CUST-0096,2022-08-15,Paid,2022-09-14,Premium,Monthly,2023-03-27,Too Expensive,17.99,600,58
CUST-0097,2022-08-29,Organic,2023-08-29,Premium,Annual,,,23.99,2380,13
CUST-0098,2022-09-12,Referral,2022-10-12,Basic,Monthly,2024-01-08,No Longer Interested,6.99,295,62
CUST-0099,2022-09-26,Organic,2023-09-26,Standard,Annual,2025-05-02,Switched to Competitor,15.49,870,46
CUST-0100,2022-10-10,Paid,2022-11-09,Basic,Monthly,2023-02-21,Forgot to Cancel Trial,7.49,130,75
CUST-0101,2022-10-24,Referral,2023-10-24,Premium,Annual,,,18.49,1710,19
CUST-0102,2022-11-07,Organic,2022-12-07,Standard,Monthly,,,12.99,485,33
CUST-0103,2022-11-21,Referral,2023-11-21,Standard,Annual,,,13.99,910,25
CUST-0104,2022-12-05,Paid,2023-01-04,Premium,Monthly,2023-09-17,Poor Streaming Quality,19.99,560,61
CUST-0105,2022-12-19,Organic,2023-12-19,Premium,Annual,2025-06-30,Too Expensive,21.99,2030,37
CUST-0106,2023-01-02,Referral,2023-02-01,Basic,Monthly,2023-07-12,Payment Issues,5.99,175,70
CUST-0107,2023-01-16,Paid,2024-01-16,Standard,Annual,,,14.49,995,26
CUST-0108,2023-01-30,Organic,2023-03-01,Standard,Monthly,,,11.49,450,30
CUST-0109,2023-02-13,Referral,2024-02-13,Premium,Annual,,,22.49,1835,17
CUST-0110,2023-02-27,Referral,2023-03-29,Basic,Monthly,2023-05-18,Forgot to Cancel Trial,6.49,115,72
CUST-0111,2023-03-13,Paid,2024-03-12,Premium,Annual,2025-09-01,Too Expensive,19.49,1610,39
CUST-0112,2023-03-27,Organic,2023-04-26,Standard,Monthly,,,10.49,465,32
CUST-0113,2023-04-10,Referral,2024-04-10,Standard,Annual,,,15.99,920,23
CUST-0114,2023-04-24,Organic,2023-05-24,Premium,Monthly,2023-12-08,Lack of Content,18.99,580,59
CUST-0115,2023-05-08,Paid,2024-05-07,Premium,Annual,,,21.49,2105,16
CUST-0116,2023-05-22,Referral,2023-06-21,Basic,Monthly,2024-02-03,Too Expensive,8.99,240,67
CUST-0117,2023-06-05,Organic,2024-06-04,Standard,Annual,2025-12-15,Switched to Competitor,13.49,880,49
CUST-0118,2023-06-19,Paid,2023-07-19,Basic,Monthly,,,5.49,370,36
CUST-0119,2023-07-03,Referral,2024-07-02,Premium,Annual,,,20.99,1940,18
CUST-0120,2023-07-17,Organic,2023-08-16,Standard,Monthly,,,12.49,455,29
CUST-0121,2023-07-31,Referral,2024-07-30,Standard,Annual,,,11.99,940,21
CUST-0122,2023-08-14,Paid,2023-09-13,Premium,Monthly,2024-03-27,Too Expensive,17.99,605,57
CUST-0123,2023-08-28,Organic,2024-08-27,Premium,Annual,,,23.49,2360,14
CUST-0124,2023-09-11,Referral,2023-10-11,Basic,Monthly,2025-01-10,No Longer Interested,6.99,305,64
CUST-0125,2023-09-25,Organic,2024-09-24,Standard,Annual,2025-06-01,Switched to Competitor,15.49,865,47
CUST-0126,2023-10-09,Paid,2023-11-08,Basic,Monthly,2024-02-19,Forgot to Cancel Trial,7.49,135,76
CUST-0127,2023-10-23,Referral,2024-10-22,Premium,Annual,,,18.49,1750,19
CUST-0128,2023-11-06,Organic,2023-12-06,Standard,Monthly,,,12.99,480,31
CUST-0129,2023-11-20,Referral,2024-11-19,Standard,Annual,,,13.99,905,24
CUST-0130,2023-12-04,Paid,2024-01-03,Premium,Monthly,2024-09-15,Poor Streaming Quality,19.99,570,60
CUST-0131,2023-12-18,Organic,2024-12-17,Premium,Annual,2025-07-29,Too Expensive,21.99,2070,36
CUST-0132,2019-01-08,Referral,2020-01-08,Basic,Annual,2021-03-19,Too Expensive,9.99,420,55
CUST-0133,2019-02-19,Organic,2019-03-21,Standard,Monthly,,,12.49,395,28
CUST-0134,2019-03-03,Paid,2020-03-03,Premium,Annual,2022-01-10,Switched to Competitor,20.99,1480,41
CUST-0135,2019-03-17,Referral,2019-04-16,Basic,Monthly,2020-02-05,No Longer Interested,7.49,215,66
CUST-0136,2019-03-31,Organic,2020-03-30,Standard,Annual,,,11.99,910,22
CUST-0137,2019-04-14,Referral,2019-05-14,Premium,Monthly,2019-12-22,Too Expensive,17.99,540,63
CUST-0138,2019-04-28,Paid,2020-04-27,Premium,Annual,,,23.99,2300,12
CUST-0139,2019-05-12,Organic,2019-06-11,Standard,Monthly,2020-03-18,Lack of Content,10.99,325,59
CUST-0140,2019-05-26,Referral,2020-05-26,Basic,Annual,,,8.99,600,33
CUST-0141,2019-06-09,Paid,2019-07-09,Basic,Monthly,2019-09-21,Forgot to Cancel Trial,6.49,125,72
CUST-0142,2019-06-23,Organic,2020-06-22,Standard,Annual,2021-12-30,Switched to Competitor,13.49,830,48
CUST-0143,2019-07-07,Referral,2019-08-06,Premium,Monthly,2020-02-18,Poor Streaming Quality,18.49,515,61
CUST-0144,2019-07-21,Organic,2020-07-20,Premium,Annual,,,22.49,2100,15
CUST-0145,2019-08-04,Referral,2019-09-03,Basic,Monthly,2020-01-11,Too Expensive,5.99,195,69
CUST-0146,2019-08-18,Paid,2020-08-17,Standard,Annual,,,14.99,960,26
CUST-0147,2019-09-01,Organic,2019-10-01,Standard,Monthly,,,11.49,410,29
CUST-0148,2019-09-15,Referral,2020-09-14,Premium,Annual,2021-11-05,Moved to Family Plan,19.99,1890,38
CUST-0149,2019-09-29,Organic,2019-10-29,Basic,Monthly,2020-06-07,No Longer Interested,7.99,230,64
CUST-0150,2019-10-13,Paid,2020-10-12,Premium,Annual,,,21.49,1755,18
CUST-0151,2019-10-27,Referral,2019-11-26,Standard,Monthly,2020-03-09,Technical Problems,10.49,355,60
CUST-0152,2019-11-10,Organic,2020-11-09,Standard,Annual,,,12.99,895,24
CUST-0153,2019-11-24,Paid,2019-12-24,Basic,Monthly,,,6.49,365,32
CUST-0154,2019-12-08,Referral,2020-12-07,Premium,Annual,2022-04-19,Too Expensive,18.99,1540,40
CUST-0155,2019-12-22,Organic,2020-12-21,Premium,Annual,,,23.49,2440,11
CUST-0156,2020-01-05,Referral,2020-02-04,Basic,Monthly,2020-08-16,Payment Issues,5.99,185,71
CUST-0157,2020-01-19,Organic,2021-01-18,Standard,Annual,,,15.49,1025,23
CUST-0158,2020-02-02,Paid,2020-03-03,Standard,Monthly,,,10.99,445,34
CUST-0159,2020-02-16,Referral,2021-02-16,Premium,Annual,2023-07-30,Switched to Competitor,20.99,1670,42
CUST-0160,2020-03-01,Referral,2020-03-31,Basic,Monthly,2020-05-25,Forgot to Cancel Trial,7.49,120,73
CUST-0161,2020-03-15,Paid,2021-03-15,Premium,Annual,,,22.99,2190,16
CUST-0162,2020-03-29,Organic,2020-04-28,Standard,Monthly,2020-12-09,Lack of Content,11.49,335,57
CUST-0163,2020-04-12,Referral,2021-04-12,Standard,Annual,2022-10-21,Switched to Competitor,13.99,865,45
CUST-0164,2020-04-26,Organic,2020-05-26,Premium,Monthly,2021-01-03,Poor Streaming Quality,19.49,555,62
CUST-0165,2020-05-10,Paid,2021-05-10,Premium,Annual,,,21.99,2065,17
CUST-0166,2020-05-24,Referral,2020-06-23,Basic,Monthly,2021-02-04,Too Expensive,8.49,245,68
CUST-0167,2020-06-07,Organic,2021-06-07,Standard,Annual,,,11.99,900,25
CUST-0168,2020-06-21,Paid,2020-07-21,Basic,Monthly,2020-10-28,Payment Issues,6.49,155,70
CUST-0169,2020-07-05,Referral,2021-07-05,Premium,Annual,2023-03-15,Moved to Family Plan,19.99,1930,37
CUST-0170,2020-07-19,Organic,2020-08-18,Standard,Monthly,,,10.49,460,30
CUST-0171,2020-08-02,Referral,2021-08-02,Standard,Annual,,,14.49,940,22
CUST-0172,2020-08-16,Paid,2020-09-15,Premium,Monthly,2021-04-29,Too Expensive,17.99,590,58
CUST-0173,2020-08-30,Organic,2021-08-30,Premium,Annual,,,23.99,2395,13
CUST-0174,2020-09-13,Referral,2020-10-13,Basic,Monthly,2022-01-09,No Longer Interested,6.99,310,63
CUST-0175,2020-09-27,Organic,2021-09-27,Standard,Annual,2023-05-06,Switched to Competitor,15.99,875,48
CUST-0176,2020-10-11,Paid,2020-11-10,Basic,Monthly,2021-02-23,Forgot to Cancel Trial,7.99,140,74
CUST-0177,2020-10-25,Referral,2021-10-25,Premium,Annual,,,18.49,1780,18
CUST-0178,2020-11-08,Organic,2020-12-08,Standard,Monthly,,,12.99,475,29
CUST-0179,2020-11-22,Referral,2021-11-22,Standard,Annual,,,13.49,915,21
CUST-0180,2020-12-06,Paid,2021-01-05,Premium,Monthly,2021-09-17,Poor Streaming Quality,19.49,565,59
CUST-0181,2020-12-20,Organic,2021-12-20,Premium,Annual,2023-07-01,Too Expensive,21.49,2045,36
CUST-0182,2021-01-03,Referral,2021-02-02,Basic,Monthly,2021-06-19,Payment Issues,5.99,180,69
CUST-0183,2021-01-17,Paid,2022-01-17,Standard,Annual,,,14.99,1000,27
CUST-0184,2021-01-31,Organic,2021-03-02,Standard,Monthly,,,11.49,455,31
CUST-0185,2021-02-14,Referral,2022-02-14,Premium,Annual,,,22.49,1820,19
CUST-0186,2021-02-28,Referral,2021-03-30,Basic,Monthly,2021-05-20,Forgot to Cancel Trial,6.49,110,73
CUST-0187,2021-03-14,Paid,2022-03-14,Premium,Annual,2023-09-03,Too Expensive,19.99,1605,40
CUST-0188,2021-03-28,Organic,2021-04-27,Standard,Monthly,,,10.99,470,33
CUST-0189,2021-04-11,Referral,2022-04-11,Standard,Annual,,,15.49,925,24
CUST-0190,2021-04-25,Organic,2021-05-25,Premium,Monthly,2021-12-06,Lack of Content,18.49,590,60
CUST-0191,2021-05-09,Paid,2022-05-09,Premium,Annual,,,21.99,2090,15
CUST-0192,2021-05-23,Referral,2021-06-22,Basic,Monthly,2022-02-02,Too Expensive,8.99,255,68
CUST-0193,2021-06-06,Organic,2022-06-06,Standard,Annual,2023-12-14,Switched to Competitor,13.99,885,47
CUST-0194,2021-06-20,Paid,2021-07-20,Basic,Monthly,,,5.49,375,35
CUST-0195,2021-07-04,Referral,2022-07-04,Premium,Annual,2024-02-18,Moved to Family Plan,19.49,1950,37
CUST-0196,2021-07-18,Organic,2021-08-17,Standard,Monthly,,,10.49,465,30
CUST-0197,2021-08-01,Referral,2022-08-01,Standard,Annual,,,11.99,935,22
CUST-0198,2021-08-15,Paid,2021-09-14,Premium,Monthly,2022-03-29,Too Expensive,17.99,595,58
CUST-0199,2021-08-29,Organic,2022-08-29,Premium,Annual,,,23.99,2410,13
CUST-0200,2021-09-12,Referral,2021-10-12,Basic,Monthly,2023-01-07,No Longer Interested,6.99,300,64
CUST-0201,2019-01-04,Referral,2019-02-03,Basic,Monthly,,,6.99,410,28
CUST-0202,2019-01-18,Organic,2020-01-18,Standard,Annual,2021-05-23,Switched to Competitor,13.49,880,49
CUST-0203,2019-02-01,Paid,2019-03-03,Premium,Monthly,2019-11-12,Too Expensive,18.99,520,63
CUST-0204,2019-02-15,Referral,2020-02-14,Premium,Annual,,,21.99,1680,19
CUST-0205,2019-03-01,Organic,2019-04-01,Standard,Monthly,2019-08-17,No Longer Interested,10.49,255,67
CUST-0206,2019-03-15,Referral,2020-03-14,Standard,Annual,,,11.99,930,23
CUST-0207,2019-03-29,Paid,2019-04-28,Basic,Monthly,2020-01-03,Payment Issues,5.49,160,70
CUST-0208,2019-04-12,Referral,2020-04-11,Premium,Annual,2022-02-20,Moved to Family Plan,19.99,1905,38
CUST-0209,2019-04-26,Organic,2019-05-26,Standard,Monthly,,,12.99,440,31
CUST-0210,2019-05-10,Referral,2020-05-09,Standard,Annual,,,14.49,980,21
CUST-0211,2019-05-24,Paid,2019-06-23,Premium,Monthly,2020-03-02,Poor Streaming Quality,17.49,545,60
CUST-0212,2019-06-07,Organic,2020-06-06,Premium,Annual,2021-11-15,Too Expensive,22.49,1540,42
CUST-0213,2019-06-21,Referral,2019-07-21,Basic,Monthly,2019-10-29,Forgot to Cancel Trial,7.49,120,72
CUST-0214,2019-07-05,Organic,2020-07-04,Standard,Annual,,,12.49,905,24
CUST-0215,2019-07-19,Paid,2019-08-18,Standard,Monthly,,,10.99,390,33
CUST-0216,2019-08-02,Referral,2020-08-01,Premium,Annual,,,20.99,1760,17
CUST-0217,2019-08-16,Referral,2019-09-15,Basic,Monthly,2020-02-22,Too Expensive,5.99,210,68
CUST-0218,2019-08-30,Organic,2020-08-29,Standard,Annual,2022-01-09,Switched to Competitor,13.99,860,47
CUST-0219,2019-09-13,Paid,2019-10-13,Basic,Monthly,,,6.49,375,34
CUST-0220,2019-09-27,Referral,2020-09-26,Premium,Annual,2021-12-05,Lack of Content,18.99,1625,39
CUST-0221,2019-10-11,Organic,2019-11-10,Standard,Monthly,2020-06-18,No Longer Interested,10.49,270,65
CUST-0222,2019-10-25,Paid,2020-10-24,Premium,Annual,,,23.49,2300,13
CUST-0223,2019-11-08,Referral,2019-12-08,Standard,Monthly,,,11.49,415,30
CUST-0224,2019-11-22,Organic,2020-11-21,Standard,Annual,2021-09-17,Switched to Competitor,15.49,890,50
CUST-0225,2019-12-06,Paid,2020-01-05,Basic,Monthly,2020-04-14,Payment Issues,7.99,145,71
CUST-0226,2019-12-20,Referral,2020-12-19,Premium,Annual,,,21.49,1870,18
CUST-0227,2020-01-03,Organic,2020-02-02,Standard,Monthly,,,12.99,460,29
CUST-0228,2020-01-17,Referral,2021-01-17,Standard,Annual,2022-05-21,Lack of Content,13.49,915,46
CUST-0229,2020-01-31,Paid,2020-03-01,Premium,Monthly,2020-10-11,Too Expensive,19.99,530,59
CUST-0230,2020-02-14,Organic,2021-02-14,Premium,Annual,,,22.99,2105,16
CUST-0231,2020-02-28,Referral,2020-03-29,Basic,Monthly,2020-07-06,No Longer Interested,6.99,200,69
CUST-0232,2020-03-13,Organic,2021-03-13,Standard,Annual,,,11.99,900,23
CUST-0233,2020-03-27,Paid,2020-04-26,Standard,Monthly,2021-01-02,Switched to Competitor,10.99,340,57
CUST-0234,2020-04-10,Referral,2021-04-10,Premium,Annual,2023-03-19,Moved to Family Plan,20.49,1930,37
CUST-0235,2020-04-24,Referral,2020-05-24,Basic,Monthly,2020-09-01,Forgot to Cancel Trial,5.49,115,73
CUST-0236,2020-05-08,Organic,2021-05-08,Standard,Annual,,,14.99,980,21
CUST-0237,2020-05-22,Paid,2020-06-21,Premium,Monthly,2021-03-05,Poor Streaming Quality,18.49,565,61
CUST-0238,2020-06-05,Organic,2021-06-05,Premium,Annual,,,23.49,2240,14
CUST-0239,2020-06-19,Referral,2020-07-19,Basic,Monthly,2021-01-28,Too Expensive,7.99,225,66
CUST-0240,2020-07-03,Organic,2021-07-03,Standard,Annual,2023-01-15,Switched to Competitor,12.49,870,48
CUST-0241,2020-07-17,Paid,2020-08-16,Basic,Monthly,,,5.99,385,35
CUST-0242,2020-07-31,Referral,2021-07-31,Premium,Annual,2024-02-10,Too Expensive,19.49,1985,36
CUST-0243,2020-08-14,Organic,2020-09-13,Standard,Monthly,,,10.49,450,30
CUST-0244,2020-08-28,Referral,2021-08-28,Standard,Annual,,,11.99,955,22
CUST-0245,2020-09-11,Paid,2020-10-11,Premium,Monthly,2021-06-25,Lack of Content,17.99,600,58
CUST-0246,2020-09-25,Organic,2021-09-25,Premium,Annual,,,22.49,2380,13
CUST-0247,2020-10-09,Referral,2020-11-08,Basic,Monthly,2022-01-05,No Longer Interested,6.49,305,63
CUST-0248,2020-10-23,Organic,2021-10-23,Standard,Annual,2023-06-02,Switched to Competitor,15.49,880,47
CUST-0249,2020-11-06,Paid,2020-12-06,Basic,Monthly,2021-03-18,Forgot to Cancel Trial,7.49,135,75
CUST-0250,2020-11-20,Referral,2021-11-20,Premium,Annual,,,18.99,1715,19
CUST-0251,2020-12-04,Organic,2021-01-03,Standard,Monthly,,,12.99,480,32
CUST-0252,2020-12-18,Paid,2021-12-18,Standard,Annual,,,13.49,920,24
CUST-0253,2021-01-01,Referral,2021-02-01,Premium,Monthly,2021-09-10,Poor Streaming Quality,19.49,570,60
CUST-0254,2021-01-15,Organic,2022-01-15,Premium,Annual,2023-08-27,Too Expensive,21.99,2050,37
CUST-0255,2021-01-29,Referral,,Basic,Monthly,2021-06-14,Payment Issues,5.99,180,70
CUST-0256,2021-02-12,Paid,2022-02-12,Standard,Annual,,,14.49,1005,26
CUST-0257,2021-02-26,Organic,2021-03-28,Standard,Monthly,2022-01-09,Switched to Competitor,11.49,455,31
CUST-0258,2021-03-12,Referral,2022-03-12,Premium,Annual,,,22.49,1830,18
CUST-0259,2021-03-26,Referral,2021-04-25,Basic,Monthly,2021-07-04,Forgot to Cancel Trial,6.49,115,72
CUST-0260,2021-04-09,Paid,2022-04-09,Premium,Annual,2023-10-01,Too Expensive,19.99,1600,40
CUST-0261,2021-04-23,Organic,2021-05-23,Standard,Monthly,,,10.99,470,33
CUST-0262,2021-05-07,Referral,2022-05-07,Standard,Annual,,,15.49,930,24
CUST-0263,2021-05-21,Organic,2021-06-20,Premium,Monthly,2022-02-02,Lack of Content,18.49,585,59
CUST-0264,2021-06-04,Paid,2022-06-04,Premium,Annual,,,21.49,2100,16
CUST-0265,2021-06-18,Referral,2021-07-18,Basic,Monthly,2022-03-01,Too Expensive,8.99,240,67
CUST-0266,2021-07-02,Organic,2022-07-02,Standard,Annual,2023-12-11,Switched to Competitor,13.99,880,47
CUST-0267,2021-07-16,Paid,2021-08-15,Basic,Monthly,,,5.49,370,35
CUST-0268,2021-07-30,Referral,2022-07-30,Premium,Annual,2024-02-22,Moved to Family Plan,19.49,1955,37
CUST-0269,2021-08-13,Organic,2021-09-12,Standard,Monthly,,,10.49,465,30
CUST-0270,2021-08-27,Referral,2022-08-27,Standard,Annual,,,11.99,935,22
CUST-0271,2021-09-10,Paid,2021-10-10,Premium,Monthly,2022-04-23,Too Expensive,17.99,595,58
